image_ID,roll,pitch,yaw,condition,rollpitchyaw,norm_rollpitchyaw,norm_roll,norm_pitch,norm_yaw
part2_faceAlign_frame_face_B_A2_0.jpg,0.2797262,2.3341458,-1.6773111,A2_B,4.291183,0.038531784,0.47402197,0.6330504,0.45663822
part2_faceAlign_frame_face_B_A2_1.jpg,-1.6862098,4.130986,7.393744,A2_B,13.210939,0.13838378,0.41139102,0.6719075,0.52055955
part2_faceAlign_frame_face_B_A2_10.jpg,2.3977582,-0.84642696,16.485062,A2_B,19.729246,0.21135281,0.5414984,0.5642696,0.58462363
part2_faceAlign_frame_face_B_A2_100.jpg,1.0317922,-1.52796,-14.747201,A2_B,17.306953,0.18423651,0.49798134,0.54953134,0.36453822
part2_faceAlign_frame_face_B_A2_1000.jpg,5.9893966,-2.724611,4.3071604,A2_B,13.021168,0.13625939,0.65592116,0.5236534,0.49880922
part2_faceAlign_frame_face_B_A2_1001.jpg,6.9218063,2.1430225,-0.22096652,A2_B,9.285795,0.09444385,0.6856259,0.6289173,0.4669007
part2_faceAlign_frame_face_B_A2_1002.jpg,7.6504455,1.8298014,0.7383737,A2_B,10.21862,0.10488634,0.708839,0.62214375,0.47366095
part2_faceAlign_frame_face_B_A2_1003.jpg,8.147534,2.520721,0.04080049,A2_B,10.709055,0.11037649,0.7246753,0.6370851,0.46874535
part2_faceAlign_frame_face_B_A2_1004.jpg,3.7880323,-0.9860661,2.3243086,A2_B,7.098407,0.06995718,0.5857899,0.5612499,0.4848366
part2_faceAlign_frame_face_B_A2_1005.jpg,4.8908834,1.9690031,3.0920513,A2_B,9.951938,0.101900965,0.6209246,0.6251541,0.49024665
part2_faceAlign_frame_face_B_A2_1006.jpg,1.7787497,-3.439905,10.454557,A2_B,15.673212,0.16594763,0.521778,0.50818497,0.5421283
part2_faceAlign_frame_face_B_A2_1007.jpg,8.825996,-0.94930965,8.211602,A2_B,17.986908,0.19184825,0.7462898,0.56204474,0.5263228
part2_faceAlign_frame_face_B_A2_1008.jpg,7.665793,-10.053655,5.752735,A2_B,23.472183,0.253253,0.7093279,0.36516097,0.50899583
part2_faceAlign_frame_face_B_A2_1009.jpg,-3.8531947,-5.765029,44.67142,A2_B,54.289642,0.59823835,0.342355,0.45790356,0.78324544
part2_faceAlign_frame_face_B_A2_101.jpg,2.0789535,4.634061,-15.371969,A2_B,22.084984,0.23772405,0.5313419,0.6827866,0.36013564
part2_faceAlign_frame_face_B_A2_1010.jpg,1.1869569,-10.664496,44.16063,A2_B,56.012085,0.61752015,0.5029246,0.3519513,0.779646
part2_faceAlign_frame_face_B_A2_1011.jpg,4.235249,-12.70905,29.58161,A2_B,46.52591,0.5113274,0.60003734,0.30773732,0.67691153
part2_faceAlign_frame_face_B_A2_1012.jpg,5.3854194,-12.833067,18.563244,A2_B,36.78173,0.40224645,0.6366796,0.30505544,0.599268
part2_faceAlign_frame_face_B_A2_1013.jpg,5.7553453,-1.5465015,-8.146904,A2_B,15.448751,0.16343491,0.64846474,0.5491303,0.41104877
part2_faceAlign_frame_face_B_A2_1014.jpg,5.7693,-2.7269378,-4.667114,A2_B,13.163351,0.13785106,0.64890933,0.5236031,0.4355699
part2_faceAlign_frame_face_B_A2_1015.jpg,5.167405,0.0006014854,-0.33552235,A2_B,5.5035286,0.052103356,0.6297341,0.5825868,0.46609345
part2_faceAlign_frame_face_B_A2_1016.jpg,11.248482,3.1846926,-5.343092,A2_B,19.776266,0.21187918,0.8234655,0.65144366,0.43080646
part2_faceAlign_frame_face_B_A2_1017.jpg,16.789759,-1.1516505,-5.582732,A2_B,23.524143,0.2538347,1.0,0.5576691,0.4291178
part2_faceAlign_frame_face_B_A2_1018.jpg,13.040919,-10.024064,2.0028253,A2_B,25.067808,0.2711152,0.8805691,0.36580086,0.48257118
part2_faceAlign_frame_face_B_A2_1019.jpg,3.7502651,-6.4622946,2.5214992,A2_B,12.734058,0.13304535,0.5845867,0.44282502,0.48622614
part2_faceAlign_frame_face_B_A2_102.jpg,-1.206306,2.4861104,-18.15855,A2_B,21.850967,0.23510437,0.42667982,0.6363366,0.34049934
part2_faceAlign_frame_face_B_A2_1020.jpg,16.06253,-4.62191,-5.612262,A2_B,26.296703,0.28487206,0.9768319,0.48262385,0.4289097
part2_faceAlign_frame_face_B_A2_1021.jpg,4.7191324,-15.598879,-11.491609,A2_B,31.80962,0.34658626,0.615453,0.24524403,0.3874795
part2_faceAlign_frame_face_B_A2_1022.jpg,1.0260957,-6.0451508,3.189387,A2_B,10.260633,0.10535665,0.49779987,0.45184588,0.49093255
part2_faceAlign_frame_face_B_A2_1023.jpg,11.724518,-6.467323,7.8615623,A2_B,26.053404,0.28214845,0.83863115,0.4427163,0.52385616
part2_faceAlign_frame_face_B_A2_1024.jpg,10.421512,-7.8562856,11.589808,A2_B,29.867607,0.32484645,0.7971198,0.41267964,0.5501281
part2_faceAlign_frame_face_B_A2_1025.jpg,5.552346,-8.436849,5.803402,A2_B,19.792597,0.21206199,0.6419976,0.40012482,0.5093528
part2_faceAlign_frame_face_B_A2_1026.jpg,1.5685877,-12.580223,6.9979725,A2_B,21.146782,0.22722138,0.51508266,0.31052324,0.51777065
part2_faceAlign_frame_face_B_A2_1027.jpg,0.9597368,-6.010471,5.061637,A2_B,12.031845,0.12518443,0.49568582,0.45259583,0.50412583
part2_faceAlign_frame_face_B_A2_1028.jpg,1.6076455,-7.3106275,7.5016713,A2_B,16.419945,0.17430691,0.5163269,0.42447963,0.5213201
