image_ID,roll,pitch,yaw,rollpitchyaw,norm_roll,norm_pitch,norm_yaw,norm_rollpitchyaw,condition
part2_faceAlign_frame_face_B_A1_0.jpg,4.8794465,-5.604935,-9.031567,19.51595,0.65412736,0.48308355,0.40264073,0.21199434,B
part2_faceAlign_frame_face_B_A1_1.jpg,6.2965736,-4.484974,8.7855215,19.56707,0.69597214,0.50949144,0.5313505,0.21256517,B
part2_faceAlign_frame_face_B_A1_10.jpg,0.62744415,-4.7906594,2.1169107,7.535014,0.5285747,0.5022836,0.4831768,0.07821027,B
part2_faceAlign_frame_face_B_A1_100.jpg,5.569208,-2.2419028,-3.824083,11.635194,0.67449456,0.5623815,0.44025934,0.12399457,B
part2_faceAlign_frame_face_B_A1_1000.jpg,3.0624456,-11.804044,5.5325046,20.398994,0.6004752,0.33691287,0.5078508,0.22185478,B
part2_faceAlign_frame_face_B_A1_1001.jpg,2.5741076,-14.009364,3.5445173,20.127989,0.5860556,0.28491297,0.4934897,0.21882862,B
part2_faceAlign_frame_face_B_A1_1002.jpg,4.043653,-10.949837,3.820292,18.813782,0.6294482,0.35705447,0.49548188,0.20415364,B
part2_faceAlign_frame_face_B_A1_1003.jpg,5.1787505,-11.855898,3.3330917,20.36774,0.6629652,0.3356902,0.4919624,0.22150579,B
part2_faceAlign_frame_face_B_A1_1004.jpg,3.8785532,-12.049256,8.269914,24.197723,0.6245731,0.33113092,0.52762574,0.26427296,B
part2_faceAlign_frame_face_B_A1_1005.jpg,3.3674061,-13.505326,3.6809363,20.553669,0.60948,0.2967978,0.49447522,0.22358194,B
part2_faceAlign_frame_face_B_A1_1006.jpg,2.8411717,-14.15654,6.9418445,23.939556,0.5939414,0.28144267,0.51803184,0.26139015,B
part2_faceAlign_frame_face_B_A1_1007.jpg,5.4882984,-15.225556,4.2372885,24.951145,0.6721055,0.256236,0.49849427,0.27268597,B
part2_faceAlign_frame_face_B_A1_1008.jpg,1.6399589,-13.27083,7.729063,22.639853,0.55847216,0.30232707,0.52371866,0.24687712,B
