image_ID,roll,pitch,yaw,rollpitchyaw,norm_roll,norm_pitch,norm_yaw,norm_rollpitchyaw,condition
part2_faceAlign_frame_face_A2_25835.jpg,-2.589921,1.9409806,19.858238,24.38914,0.412680652862718,0.627784410885974,0.623555274733719,0.247787325154185,A2
part2_faceAlign_frame_face_A2_5559.jpg,4.0658927,-0.30291906,-5.3920054,9.760817,0.593187438220257,0.578873843106541,0.451822218430453,0.093226481276867,A2
part2_faceAlign_frame_face_A2_17154.jpg,3.410452,-5.258782,1.7447714,10.414004,0.575411776357983,0.470850264978964,0.500361175960591,0.100127965058001,A2
part2_faceAlign_frame_face_A2_2422.jpg,-1.1149477,-15.396333,-24.09675,40.608032,0.452682176473753,0.249880769710641,0.32460669394446,0.419153901779209,A2
part2_faceAlign_frame_face_A2_12882.jpg,-0.34952402,-15.087293,9.417563,24.854382,0.473440595224768,0.256616954102485,0.552545700718322,0.252703007979016,A2
part2_faceAlign_frame_face_A2_24815.jpg,1.9218957,8.870869,6.3906713,17.183435,0.535041879505745,0.778836074351224,0.531959072918132,0.171652839640636,A2
part2_faceAlign_frame_face_A2_25697.jpg,2.1092634,3.8595006,14.0615225,20.030287,0.540123322997295,0.66960263661546,0.584130400542783,0.201732285351114,A2
part2_faceAlign_frame_face_A2_10900.jpg,3.2851,-15.458394,-12.1865835,30.930077,0.572012209065686,0.248528018158926,0.405610637618356,0.316897963637378,A2
part2_faceAlign_frame_face_A2_23515.jpg,-2.9092402,-5.8308387,13.561672,22.30175,0.404020662530516,0.458381071949616,0.580730795529086,0.225732250221736,A2
part2_faceAlign_frame_face_A2_20462.jpg,1.0157349,-3.253953,0.8993591,5.169047,0.510466646424173,0.514549779016358,0.494611320966505,0.044710472566192,A2
part2_faceAlign_frame_face_A2_22757.jpg,5.6278334,2.8249447,-23.75856,32.211338,0.635547532325071,0.647052289391573,0.326906806517283,0.330435590704206,A2
part2_faceAlign_part2_faceAlign_frame_face_A2_17560.jpg,8.955838,-9.628628,18.530073,37.11454,0.725803576000257,0.375600173016882,0.614522101028747,0.382242146986902,A2
part2_faceAlign_frame_face_A2_18556.jpg,-3.25545,-1.451388,25.298098,30.004936,0.394631394610159,0.553840518785593,0.660553087739429,0.307123051389029,A2
