image_ID,roll,pitch,yaw,condition,rollpitchyaw,norm_yaw,norm_roll,norm_pitch,norm_rollpitchyaw,condition
part2_faceAlign_frame_face_B_A1_0.jpg,4.8794465,-5.604935,-9.031567,A1_B,19.51595,0.40264073,0.65412736,0.48308355,0.21199434,B_A1
part2_faceAlign_frame_face_B_A1_1.jpg,6.2965736,-4.484974,8.7855215,A1_B,19.56707,0.5313505,0.69597214,0.50949144,0.21256517,B_A1
part2_faceAlign_frame_face_B_A1_10.jpg,0.62744415,-4.7906594,2.1169107,A1_B,7.535014,0.4831768,0.5285747,0.5022836,0.07821027,B_A1
part2_faceAlign_frame_face_B_A1_100.jpg,5.569208,-2.2419028,-3.824083,A1_B,11.635194,0.44025934,0.67449456,0.5623815,0.12399457,B_A1
part2_faceAlign_frame_face_B_A1_1000.jpg,3.0624456,-11.804044,5.5325046,A1_B,20.398994,0.5078508,0.6004752,0.33691287,0.22185478,B_A1
part2_faceAlign_frame_face_B_A1_1001.jpg,2.5741076,-14.009364,3.5445173,A1_B,20.127989,0.4934897,0.5860556,0.28491297,0.21882862,B_A1
part2_faceAlign_frame_face_B_A1_1002.jpg,4.043653,-10.949837,3.820292,A1_B,18.813782,0.49548188,0.6294482,0.35705447,0.20415364,B_A1
part2_faceAlign_frame_face_B_A1_1003.jpg,5.1787505,-11.855898,3.3330917,A1_B,20.36774,0.4919624,0.6629652,0.3356902,0.22150579,B_A1
part2_faceAlign_frame_face_B_A1_1004.jpg,3.8785532,-12.049256,8.269914,A1_B,24.197723,0.52762574,0.6245731,0.33113092,0.26427296,B_A1
part2_faceAlign_frame_face_B_A1_1005.jpg,3.3674061,-13.505326,3.6809363,A1_B,20.553669,0.49447522,0.60948,0.2967978,0.22358194,B_A1
part2_faceAlign_frame_face_B_A1_1006.jpg,2.8411717,-14.15654,6.9418445,A1_B,23.939556,0.51803184,0.5939414,0.28144267,0.26139015,B_A1
part2_faceAlign_frame_face_B_A1_1007.jpg,5.4882984,-15.225556,4.2372885,A1_B,24.951145,0.49849427,0.6721055,0.256236,0.27268597,B_A1
part2_faceAlign_frame_face_B_A1_1008.jpg,1.6399589,-13.27083,7.729063,A1_B,22.639853,0.52371866,0.55847216,0.30232707,0.24687712,B_A1
part2_faceAlign_frame_face_B_A1_1009.jpg,2.875424,-15.425874,4.0413,A1_B,22.342598,0.49707845,0.5949528,0.25151265,0.24355786,B_A1
part2_faceAlign_frame_face_B_A1_101.jpg,-1.7320772,8.204144,7.4077992,A1_B,17.34402,0.5213979,0.45890307,0.808692,0.18774168,B_A1
part2_faceAlign_frame_face_B_A1_1010.jpg,2.2792532,-15.934861,3.2149148,A1_B,21.42903,0.4911087,0.5773492,0.23951109,0.23335658,B_A1
part2_faceAlign_frame_face_B_A1_1011.jpg,3.7662883,-12.790018,3.3597357,A1_B,19.916042,0.49215487,0.6212582,0.3136643,0.21646194,B_A1
part2_faceAlign_frame_face_B_A1_1012.jpg,4.6489496,-10.8589325,7.3856683,A1_B,22.89355,0.52123797,0.6473212,0.35919794,0.24971002,B_A1
part2_faceAlign_frame_face_B_A1_1013.jpg,2.2591977,-16.90519,-8.362374,A1_B,27.52676,0.40747496,0.57675695,0.21663143,0.30144635,B_A1
part2_faceAlign_frame_face_B_A1_1014.jpg,0.98759395,-17.492392,15.663815,A1_B,34.1438,0.58103895,0.53920925,0.20278561,0.37533492,B_A1
part2_faceAlign_frame_face_B_A1_1015.jpg,1.8820164,-8.753464,-5.5196567,A1_B,16.155136,0.42801058,0.56561965,0.40884343,0.1744661,B_A1
part2_faceAlign_frame_face_B_A1_1016.jpg,2.1748934,-8.361489,-1.9736208,A1_B,12.510003,0.45362696,0.5742676,0.41808593,0.13376305,B_A1
part2_faceAlign_frame_face_B_A1_1017.jpg,2.0482464,-7.587928,-0.8609296,A1_B,10.497104,0.46166497,0.57052803,0.43632594,0.11128618,B_A1
part2_faceAlign_frame_face_B_A1_1018.jpg,1.0047563,-6.174001,-2.4258924,A1_B,9.6046505,0.4503598,0.539716,0.46966535,0.101320684,B_A1
part2_faceAlign_frame_face_B_A1_1019.jpg,-0.9681466,-3.806218,6.2120843,A1_B,10.986448,0.5127601,0.4814603,0.52549607,0.116750404,B_A1
part2_faceAlign_frame_face_B_A1_102.jpg,-5.071174,3.1424272,10.012217,A1_B,18.225819,0.54021204,0.36030662,0.68934023,0.1975882,B_A1
part2_faceAlign_frame_face_B_A1_1020.jpg,0.3855712,-5.756154,-1.085124,A1_B,7.226849,0.46004543,0.52143276,0.4795179,0.07476918,B_A1
