image_ID,pitch,yaw,pitchyaw,norm_pitch,norm_yaw,norm_pitchyaw,condition
frame_face_A2_5303.jpg,-0.3027383,-0.08249936,0.38523766,0.4566736,0.4130319,0.24305612,A2
frame_face_A2_1997.jpg,-0.32095832,0.03852868,0.359487,0.44393596,0.4759116,0.22649172,A2
frame_face_A2_3021.jpg,-0.7164972,0.42665678,1.1431539,0.16741385,0.677562,0.7305937,A2
frame_face_A2_25789.jpg,-0.40297058,0.03149721,0.4344678,0.386601,0.47225842,0.2747239,A2
frame_face_A2_15770.jpg,-0.45364183,0.18550447,0.6391463,0.35117662,0.55227226,0.4063855,A2
frame_face_A2_8319.jpg,-0.36149263,-0.0064865127,0.36797914,0.4155983,0.4525241,0.2319544,A2
frame_face_A2_12861.jpg,-0.12827843,0.5239138,0.65219223,0.5786389,0.72809154,0.41477743,A2
frame_face_A2_17491.jpg,-0.67418313,0.05625756,0.7304407,0.19699569,0.48512253,0.46511155,A2
frame_face_A2_13725.jpg,-0.7749319,-0.13446456,0.90939647,0.126562,0.38603362,0.5802267,A2
frame_face_A2_22473.jpg,-0.38502598,-0.043081626,0.42810762,0.3991461,0.43351126,0.27063265,A2
frame_face_A2_10972.jpg,-0.72948277,0.07025221,0.79973495,0.1583356,0.4923934,0.5096858,A2
frame_face_A2_14415.jpg,-0.5958273,0.12579928,0.7216266,0.25177443,0.5212527,0.45944178,A2
frame_face_A2_14231.jpg,-0.30692357,0.4670137,0.7739372,0.45374766,0.6985293,0.49309117,A2
frame_face_A2_23882.jpg,-0.25607458,0.116525136,0.37259972,0.48929635,0.5164343,0.23492661,A2
frame_face_A2_26775.jpg,-0.37730914,0.09295064,0.4702598,0.40454096,0.5041863,0.29774746,A2
frame_face_A2_18293.jpg,-0.28482062,-0.22052507,0.5053457,0.4691999,0.3413212,0.32031685,A2
frame_face_A2_19335.jpg,-0.55692554,-0.4217844,0.97870994,0.27897075,0.23675773,0.6248134,A2
frame_face_A2_22763.jpg,-0.44206727,0.008251732,0.450319,0.35926843,0.4601813,0.28492033,A2
frame_face_A2_11648.jpg,-0.5079763,0.5923592,1.1003355,0.31319126,0.763652,0.7030503,A2
frame_face_A2_1159.jpg,-0.3633337,-0.23297888,0.5963126,0.41431123,0.33485088,0.37883225,A2
frame_face_A2_5917.jpg,-0.23719251,-0.044119947,0.28131247,0.50249684,0.4329718,0.17620513,A2
frame_face_A2_637.jpg,-0.4483205,0.24470814,0.6930286,0.35489675,0.5830313,0.44104585,A2
frame_face_A2_7411.jpg,-0.53558266,0.08319189,0.61877453,0.29389158,0.49911615,0.39328113,A2
