,start,end,times,silent_length,condition,norm_silentlength
0,58.375037,60.81,S1,2.434963,A1_help,0.03480096932756
1,23.305867,28.13,S1,4.824133,A1_help,0.147927853763531
2,34.958801,37.51,S2,2.551199,A1_help,0.040304728599316
3,70.586213,74.1,S3,3.51378699999999,A1_help,0.085883143461151
4,63.947516,66.81,S1,2.862484,A1_help,0.055044032299618
5,74.052716,77,S1,2.947284,A1_help,0.059059301116893
6,82.163637,85.4,S2,3.23636300000001,A1_help,0.07274715364554
7,33.37292,37.07,S1,3.69708,A1_help,0.094562042839983
8,26.493467,32.35,S1,5.856533,A1_help,0.196811857619136
9,100.086432,103.44,S2,3.353568,A1_help,0.078296794939511
10,111.979055,115.393769,S3,3.414714,A1_help,0.081192049976081
11,74.139779,86.130673,S1,11.990894,A1_help,0.487273042020214
12,21.364726,24.01,S1,2.645274,A1_help,0.044759167443481
13,28.92746,33.91,S2,4.98254,A1_help,0.155428404324123
14,55.450961,69.72,S1,14.269039,A1_help,0.595142907347246
15,70.932995,74.2,S2,3.267005,A1_help,0.074198048304726
16,24.098421,36.48,S1,12.381579,A1_help,0.5057719252499
17,49.576214,54.06,S2,4.483786,A1_help,0.131812468195685
18,53.763988,61.33,S1,7.566012,A1_help,0.277755462837148
19,117.768736,123.56,S2,5.791264,A1_help,0.193721379076273
20,128.762493,134.77,S3,6.007507,A1_help,0.20396045660993
21,28.583217,34.41,S1,5.826783,A1_help,0.195403199042321
22,63.936142,69.69,S2,5.753858,A1_help,0.191950209909068
23,105.306588,111.08,S3,5.77341199999999,A1_help,0.192876089230447
24,115.962611,118.03,S4,2.06738900000001,A1_help,0.017396388900188
25,27.224119,32.96,S1,5.735881,A1_help,0.191099001329726
26,54.757602,65.28,S2,10.522398,A1_help,0.417739950073352
27,69.813365,71.97,S3,2.15663499999999,A1_help,0.02162217523116
28,25.551335,28.45,S1,2.898665,A1_help,0.056757197878366
29,34.696024,50.77,S2,16.073976,A1_help,0.680606436277045
30,70.064451,79.32,S3,9.25554899999999,A1_help,0.357754816984946
31,97.767478,100.33,S4,2.562522,A1_help,0.040840871156132
32,50.031335,55.09,S1,5.05866500000001,A1_help,0.159032913035386
33,77.782315,89.917151,S2,12.134836,A1_help,0.494088676738331
34,69.384807,72.272499,S1,2.887692,A1_help,0.056237627775395
35,34.94438,39.06,S1,4.11562,A1_help,0.11437985664638
36,43.769923,50.448712,S2,6.678789,A1_help,0.235745570786798
37,73.466682,77.402398,S3,3.935716,A1_help,0.105861425970636
38,27.507015,31.19,S1,3.682985,A1_help,0.093894646448715
39,68.944779,72.73,S1,3.78522100000001,A1_help,0.098735507566675
40,98.672212,104.37,S2,5.697788,A1_help,0.189295302803117
41,162.700531,175.88,S3,13.179469,A1_help,0.543551911530749
42,93.39124,98.459964,S1,5.068724,A1_help,0.159509205358888
43,114.426445,118.26,S2,3.833555,A1_help,0.101024116092785
44,44.539608,47.14,S1,2.600392,A1_help,0.042634010662149
45,53.781925,56.17,S2,2.388075,A1_help,0.032580828710763
46,37.050052,40.1,S1,3.049948,A1_help,0.063920427978412
47,66.766617,70.210167,S2,3.44355,A1_help,0.082557430773428
48,72.18702,75.566801,S3,3.37978099999999,A1_help,0.079537977032757
49,38.340104,40.51,S1,2.169896,A1_help,0.02225008183241
50,41.400259,44.48,S1,3.079741,A1_help,0.065331122599557
51,71.776427,75.33,S2,3.553573,A1_help,0.087767005314502
52,22.465954,26.56717,S1,4.101216,A1_help,0.113697829145861
53,63.691087,66.33,S1,2.638913,A1_help,0.044457974932317
54,78.218812,87.69,S2,9.471188,A1_help,0.367965295198255
55,100.635766,105.24,S3,4.60423399999999,A1_help,0.137515665111996
56,107.947733,113.37,S4,5.42226700000001,A1_help,0.176249419786554
57,119.108105,122.39,S5,3.28189500000001,A1_help,0.074903087841156
58,37.24,41.47,S1,4.23,A1_help,0.119795734562889
59,42.245187,54.71,S1,12.464813,A1_help,0.509713044173686
60,55.674121,62.03,S2,6.355879,A1_help,0.220455824869505
61,68.823285,74.34,S3,5.51671500000001,A1_help,0.180721520131531
62,79.03487,81.4,S4,2.36513000000001,A1_help,0.031494385986561
63,30.689291,34.87,S1,4.180709,A1_help,0.11746181221298
64,46.413337,49.17,S2,2.756663,A1_help,0.050033421904418
65,48.687127,50.73,S1,2.042873,A1_help,0.016235559533155
66,76.098376,80.68,S2,4.58162400000001,A1_help,0.136445084593618
67,86.389964,95.67,S3,9.280036,A1_help,0.358914273205803
68,104.400242,108.09,S4,3.689758,A1_help,0.094215347105548
69,116.374109,122.36,S5,5.985891,A1_help,0.20293694186047
70,39.620444,41.91,S1,2.289556,A1_help,0.027915967052636
71,50.086222,52.66,S2,2.573778,A1_help,0.041373841271783
72,86.988283,89.98,S,2.99171700000001,A1_help,0.061163197807437
73,24.413758,34.1,S1,9.686242,A1_help,0.378148073738707
74,42.528674,46.81,S2,4.281326,A1_help,0.12222601389444
75,68.840727,70.97,S1,2.129273,A1_help,0.020326588139436
76,96.436364,98.33,S2,1.893636,A1_help,0.009169207263299
77,112.459636,117.19,S3,4.73036399999999,A1_help,0.143487903979013
78,134.318545,138.5,S4,4.181455,A1_help,0.117497135214604
79,81.628073,83.53,S1,1.901927,A1_help,0.009561785019951
80,17.808804,22.99,S1,5.181196,A1_help,0.164834739727008
81,86.992051,94.61,S1,7.617949,A1_help,0.280214672938125
82,97.847211,102.91,S2,5.062789,A1_help,0.159228183891547
83,21.021876,23.25,S1,2.228124,A1_help,0.025007169953781
84,16.00888,20.76,S1,4.75112,A1_help,0.144470697841883
85,24.590442,26.698195,S2,2.107753,A1_help,0.019307618977316
86,27.666783,31.27,S,3.603217,A1_help,0.090117642167861
87,306.196997,310.00305,S,3.80605299999996,A1_help,0.099721900019521
88,34.618825,44.599027,S,9.980202,A1_help,0.392067040973688
89,140.346588,147.66,S2,7.313412,A1_help,0.265794886147952
90,43.069674,65.889045,S1,22.819371,A1_help,1
91,66.214694,84.85422,S1,18.639526,A1_help,0.802084890453476
92,162.962706,169.34,S2,6.37729400000001,A1_help,0.221469822295472
93,44.75295,46.98,S1,2.22705,A1_help,0.024956316195412
94,30.336855,35.78,S1,5.443145,A1_help,0.177237990333335
95,61.151335,65.52,S1,4.36866499999999,A1_help,0.126361504026893
96,130.710979,136.826113,S2,6.11513399999998,A1_help,0.209056580866968
97,145.234421,148.88,S3,3.645579,A1_help,0.09212347728151
98,177.52997,181.9,S4,4.37003000000001,A1_help,0.126426136596889
99,74.182172,77.14,S1,2.95782800000001,A1_help,0.059558558126438
100,61.294362,65.31,S1,4.015638,A1_help,0.109645722131182
101,24.054481,30.58089,S1,6.526409,A1_help,0.228530397881415
102,7.900463,10.17,S1,2.269537,A1_help,0.026968070042577
103,36.065163,38.73,S1,2.664837,A1_help,0.045685472913674
104,56.995039,60.72,S1,3.724961,A1_help,0.095882204513266
