,start,end,times,silent_length,norm_silentlength,condition
0,23.915798,26.33,S1,2.414202,0.043814709767305,A1_B
1,15.902671,22.04,S1,6.137329,0.22605060081951,A1_B
2,22.309128,24.26,S1,1.950872,0.021136097030963,A1_B
3,22.146659,33.74,S1,11.593341,0.493106011073182,A1_B
4,59.057757,61.48,S2,2.42224299999999,0.044208292580878,A1_B
5,29.182315,39.13,S1,9.947685,0.412556089589062,A1_B
6,61.927145,70.76,S2,8.832855,0.35798850744058,A1_B
7,22.883418,26.63,S1,3.746582,0.109030711402526,A1_B
8,47.92565,58.78,S2,10.85435,0.456934619830133,A1_B
9,87.431929,99.51,S3,12.078071,0.51683208957379,A1_B
10,39.610113,41.92,S1,2.309887,0.038708803636488,A1_B
11,67.295715,69.53,S2,2.234285,0.035008312668726,A1_B
12,99.025282,101.95,S3,2.924718,0.068802935566857,A1_B
13,21.781009,24.84,S1,3.058991,0.075375195873651,A1_B
14,48.769139,59.45,S1,10.680861,0.448442854036821,A1_B
15,14.943027,17.61,S1,2.666973,0.056187091482234,A1_B
16,31.622552,34.31,S2,2.687448,0.057189281273045,A1_B
17,26.435608,28.47,S1,2.034392,0.025224150331503,A1_B
18,19.574315,22.47632,S1,2.902005,0.067691202393783,A1_B
19,23.216047,25.947347,S2,2.7313,0.059335705043822,A1_B
20,47.001116,50.44,S3,3.43888399999999,0.093969817910313,A1_B
21,19.751691,22.2,S1,2.448309,0.045484145039354,A1_B
22,23.018564,26.33,S1,3.311436,0.087731620867123,A1_B
23,20.725175,24.98,S1,4.254825,0.133907680674873,A1_B
24,49.300795,53.62,S2,4.319205,0.137058888427373,A1_B
25,22.680499,25.86,S1,3.179501,0.081273798642426,A1_B
26,50.186635,52.46,S2,2.273365,0.036921161363471,A1_B
27,11.369306,13.52,S1,2.150694,0.030916784131305,A1_B
28,28.759739,30.601496,S2,1.841757,0.015795245308161,A1_B
29,13.890944,15.41,S1,1.519056,0,A1_B
30,11.48197,14.77,S1,3.28803,0.086585967424206,A1_B
31,14.415549,16.79,S1,2.374451,0.04186901763668,A1_B
32,63.588297,66.83,S1,3.241703,0.084318399832562,A1_B
33,13.080309,17.31,S1,4.229691,0.132677446818841,A1_B
34,26.276083,33.7,S1,7.423917,0.289025221507194,A1_B
35,48.227561,50.6,S2,2.372439,0.04177053627604,A1_B
36,9.922588,12.94,S1,3.017412,0.073340028630078,A1_B
37,13.01968,15.18,S1,2.16032,0.031387947937232,A1_B
38,21.251751,24.76,S1,3.508249,0.09736502644949,A1_B
39,22.096095,27.19,S1,5.093905,0.174978128033796,A1_B
40,40.207335,50.64,S1,10.432665,0.436294404839253,A1_B
41,22.531988,24.87,S1,2.338012,0.040085437964526,A1_B
42,27.238742,31.21,S1,3.971258,0.120027927199367,A1_B
43,20.792285,24.219585,S1,3.4273,0.093402815881656,A1_B
44,18.170682,40.12,S1,21.949318,1,A1_B
45,19.551525,21.94,S1,2.388475,0.042555450341263,A1_B
46,11.424902,13.64,S1,2.215098,0.034069166611765,A1_B
47,23.396795,26.68,S1,3.283205,0.086349798157263,A1_B
48,48.618872,51.87,S2,3.25112799999999,0.084779725291824,A1_B
49,25.430528,28.25,S1,2.819472,0.063651459780594,A1_B
50,65.981911,70.7,S2,4.71808900000001,0.156583062909326,A1_B
51,13.196534,15.34,S1,2.143466,0.030562995227374,A1_B
52,36.120783,40.8,S1,4.67921699999999,0.154680395190233,A1_B
53,20.399098,26.23,S1,5.830902,0.211051918962175,A1_B
54,49.87105,53.73,S2,3.85895,0.114530787710897,A1_B
55,20.210849,22.59,S1,2.379151,0.042099068528832,A1_B
56,20.60743,23.44,S1,2.83257,0.064292567564723,A1_B
57,45.597436,54.24,S2,8.642564,0.348674334181324,A1_B
58,74.037555,85.46,S3,11.422445,0.48474116484654,A1_B
59,0,0,S,0,0,A1_B
60,0,0,S,0,0,A1_B
61,0,0,S,0,0,A1_B
62,0,0,S,0,0,A1_B
63,0,0,S,0,0,A1_B
64,0,0,S,0,0,A1_B
65,0,0,S,0,0,A1_B
66,0,0,S,0,0,A1_B
67,0,0,S,0,0,A1_B
68,0,0,S,0,0,A1_B
69,0,0,S,0,0,A1_B
70,0,0,S,0,0,A1_B
71,0,0,S,0,0,A1_B
72,0,0,S,0,0,A1_B
73,0,0,S,0,0,A1_B
74,0,0,S,0,0,A1_B
75,0,0,S,0,0,A1_B
76,0,0,S,0,0,A1_B
77,0,0,S,0,0,A1_B
78,0,0,S,0,0,A1_B
79,0,0,S,0,0,A1_B
80,0,0,S,0,0,A1_B
81,0,0,S,0,0,A1_B
82,0,0,S,0,0,A1_B
83,0,0,S,0,0,A1_B
84,0,0,S,0,0,A1_B
85,0,0,S,0,0,A1_B
86,0,0,S,0,0,A1_B
87,0,0,S,0,0,A1_B
88,0,0,S,0,0,A1_B
89,0,0,S,0,0,A1_B
90,0,0,S,0,0,A1_B
91,0,0,S,0,0,A1_B
92,0,0,S,0,0,A1_B
93,0,0,S,0,0,A1_B
94,0,0,S,0,0,A1_B
95,0,0,S,0,0,A1_B
96,0,0,S,0,0,A1_B
97,0,0,S,0,0,A1_B
98,0,0,S,0,0,A1_B
99,0,0,S,0,0,A1_B
100,0,0,S,0,0,A1_B
101,0,0,S,0,0,A1_B
102,0,0,S,0,0,A1_B
103,0,0,S,0,0,A1_B
104,0,0,S,0,0,A1_B
105,0,0,S,0,0,A1_B
106,0,0,S,0,0,A1_B
107,0,0,S,0,0,A1_B
108,0,0,S,0,0,A1_B
109,0,0,S,0,0,A1_B
110,0,0,S,0,0,A1_B
111,0,0,S,0,0,A1_B
112,0,0,S,0,0,A1_B
113,0,0,S,0,0,A1_B
114,0,0,S,0,0,A1_B
115,0,0,S,0,0,A1_B
116,0,0,S,0,0,A1_B
117,0,0,S,0,0,A1_B
118,0,0,S,0,0,A1_B
119,0,0,S,0,0,A1_B
120,0,0,S,0,0,A1_B
121,0,0,S,0,0,A1_B
122,0,0,S,0,0,A1_B
123,0,0,S,0,0,A1_B
124,0,0,S,0,0,A1_B
125,0,0,S,0,0,A1_B
126,0,0,S,0,0,A1_B
127,0,0,S,0,0,A1_B
128,0,0,S,0,0,A1_B
129,0,0,S,0,0,A1_B
130,0,0,S,0,0,A1_B
131,0,0,S,0,0,A1_B
132,0,0,S,0,0,A1_B
133,0,0,S,0,0,A1_B
134,0,0,S,0,0,A1_B
135,0,0,S,0,0,A1_B
136,0,0,S,0,0,A1_B
137,0,0,S,0,0,A1_B
138,0,0,S,0,0,A1_B
139,0,0,S,0,0,A1_B
140,0,0,S,0,0,A1_B
141,0,0,S,0,0,A1_B
142,0,0,S,0,0,A1_B
143,0,0,S,0,0,A1_B
144,0,0,S,0,0,A1_B
145,0,0,S,0,0,A1_B
146,0,0,S,0,0,A1_B
147,0,0,S,0,0,A1_B
148,0,0,S,0,0,A1_B
149,0,0,S,0,0,A1_B
150,0,0,S,0,0,A1_B
151,0,0,S,0,0,A1_B
152,0,0,S,0,0,A1_B
153,0,0,S,0,0,A1_B
154,0,0,S,0,0,A1_B
155,0,0,S,0,0,A1_B
156,0,0,S,0,0,A1_B
157,0,0,S,0,0,A1_B
158,0,0,S,0,0,A1_B
159,0,0,S,0,0,A1_B
160,0,0,S,0,0,A1_B
161,0,0,S,0,0,A1_B
162,0,0,S,0,0,A1_B
163,0,0,S,0,0,A1_B
164,0,0,S,0,0,A1_B
165,0,0,S,0,0,A1_B
166,0,0,S,0,0,A1_B
167,0,0,S,0,0,A1_B
168,0,0,S,0,0,A1_B
169,0,0,S,0,0,A1_B
170,0,0,S,0,0,A1_B
171,0,0,S,0,0,A1_B
172,0,0,S,0,0,A1_B
173,0,0,S,0,0,A1_B
174,0,0,S,0,0,A1_B
175,0,0,S,0,0,A1_B
176,0,0,S,0,0,A1_B
177,0,0,S,0,0,A1_B
178,0,0,S,0,0,A1_B
179,0,0,S,0,0,A1_B
180,0,0,S,0,0,A1_B
181,0,0,S,0,0,A1_B
182,0,0,S,0,0,A1_B
183,0,0,S,0,0,A1_B
184,0,0,S,0,0,A1_B
185,0,0,S,0,0,A1_B
186,0,0,S,0,0,A1_B
187,0,0,S,0,0,A1_B
188,0,0,S,0,0,A1_B
189,0,0,S,0,0,A1_B
190,0,0,S,0,0,A1_B
191,0,0,S,0,0,A1_B
192,0,0,S,0,0,A1_B
193,0,0,S,0,0,A1_B
194,0,0,S,0,0,A1_B
195,0,0,S,0,0,A1_B
196,0,0,S,0,0,A1_B
197,0,0,S,0,0,A1_B
198,0,0,S,0,0,A1_B
199,0,0,S,0,0,A1_B
200,0,0,S,0,0,A1_B
201,0,0,S,0,0,A1_B
202,0,0,S,0,0,A1_B
203,0,0,S,0,0,A1_B
204,0,0,S,0,0,A1_B
205,0,0,S,0,0,A1_B
206,0,0,S,0,0,A1_B
207,0,0,S,0,0,A1_B
208,0,0,S,0,0,A1_B
209,0,0,S,0,0,A1_B
210,0,0,S,0,0,A1_B
211,0,0,S,0,0,A1_B
212,0,0,S,0,0,A1_B
213,0,0,S,0,0,A1_B
214,0,0,S,0,0,A1_B
215,0,0,S,0,0,A1_B
216,0,0,S,0,0,A1_B
217,0,0,S,0,0,A1_B
218,0,0,S,0,0,A1_B
219,0,0,S,0,0,A1_B
220,0,0,S,0,0,A1_B
