image_ID,pitch,yaw,pitchyaw,norm_pitchyaw,norm_pitch,norm_yaw,condition
frame_face_B_A1_0.jpg,-0.4080817,0.039719097,0.44780082,0.25316983,0.3956586,0.42789984,B_A1
frame_face_B_A1_1.jpg,-0.4208203,0.14845006,0.5692704,0.3244863,0.386038,0.49094993,B_A1
frame_face_B_A1_10.jpg,-0.42243728,-0.2549871,0.6774244,0.38798505,0.3848168,0.25700778,B_A1
frame_face_B_A1_1000.jpg,-0.41358104,0.18851714,0.60209817,0.34375998,0.39150536,0.5141837,B_A1
frame_face_B_A1_1001.jpg,-0.37249407,0.3825493,0.7550434,0.43355623,0.42253557,0.62669766,B_A1
frame_face_B_A1_1002.jpg,-0.122404605,-0.22001287,0.34241748,0.19129781,0.6114116,0.27728838,B_A1
frame_face_B_A1_1003.jpg,-0.071950205,0.062311605,0.13426182,0.069086716,0.6495164,0.44100058,B_A1
frame_face_B_A1_1004.jpg,-0.34654152,0.23771559,0.5842571,0.3332852,0.4421358,0.54271257,B_A1
frame_face_B_A1_1005.jpg,-0.4487983,0.34535047,0.7941488,0.45651555,0.36490807,0.60512704,B_A1
frame_face_B_A1_1006.jpg,-0.39691335,0.45545614,0.8523695,0.49069777,0.40409333,0.6689743,B_A1
frame_face_B_A1_1007.jpg,-0.30083805,0.20487173,0.50570977,0.28716898,0.47665262,0.5236673,B_A1
frame_face_B_A1_1008.jpg,-0.33412015,0.33958164,0.67370176,0.38579944,0.45151687,0.6017819,B_A1
frame_face_B_A1_1009.jpg,-0.32614076,0.23238653,0.5585273,0.31817892,0.45754316,0.53962237,B_A1
frame_face_B_A1_1010.jpg,-0.43450946,0.18151821,0.61602765,0.3519382,0.3756995,0.5101252,B_A1
frame_face_B_A1_1011.jpg,-0.4331162,0.28621385,0.7193301,0.41258845,0.37675172,0.57083535,B_A1
frame_face_B_A1_1012.jpg,-0.3546427,0.2201437,0.5747864,0.32772484,0.43601754,0.5325231,B_A1
frame_face_B_A1_1014.jpg,-0.28606245,0.07418211,0.36024457,0.20176435,0.48781163,0.44788396,B_A1
frame_face_B_A1_1015.jpg,-0.54896927,0.13418204,0.6831513,0.3913474,0.28925562,0.4826763,B_A1
frame_face_B_A1_1016.jpg,-0.52734613,0.12211258,0.6494587,0.37156603,0.30558613,0.47567752,B_A1
frame_face_B_A1_1017.jpg,-0.49610138,0.17382361,0.669925,0.38358203,0.32918322,0.50566334,B_A1
frame_face_B_A1_1018.jpg,-0.52056825,0.0958068,0.616375,0.35214213,0.310705,0.46042353,B_A1
frame_face_B_A1_1019.jpg,-0.4941491,0.31408086,0.8082299,0.46478277,0.33065766,0.5869947,B_A1
frame_face_B_A1_1020.jpg,-0.49784893,0.20024571,0.6980946,0.4001208,0.3278634,0.52098477,B_A1
frame_face_B_A1_1021.jpg,-0.48346475,0.21223043,0.69569516,0.39871207,0.33872682,0.52793443,B_A1
frame_face_B_A1_1022.jpg,-0.47981822,0.18517911,0.66499734,0.38068894,0.3414808,0.5122481,B_A1
frame_face_B_A1_1023.jpg,-0.5567678,0.04707706,0.6038449,0.34478548,0.28336588,0.4321665,B_A1
frame_face_B_A1_1024.jpg,-0.5267203,0.24415137,0.77087164,0.44284922,0.3060588,0.5464445,B_A1
frame_face_B_A1_1025.jpg,-0.48438933,0.0539449,0.53833425,0.30632326,0.33802855,0.43614897,B_A1
frame_face_B_A1_1026.jpg,-0.5209417,0.096420035,0.6173617,0.35272142,0.310423,0.46077913,B_A1
frame_face_B_A1_1027.jpg,-0.47868145,0.21607955,0.694761,0.39816362,0.34233934,0.5301664,B_A1
frame_face_B_A1_1028.jpg,-0.51894194,0.20122682,0.72016877,0.4130809,0.31193325,0.5215537,B_A1
frame_face_B_A1_1029.jpg,-0.54236805,0.39800534,0.9403734,0.5423661,0.29424107,0.6356602,B_A1
frame_face_B_A1_103.jpg,-0.39988515,0.01461144,0.4144966,0.23361647,0.4018489,0.41334057,B_A1
frame_face_B_A1_1030.jpg,-0.5400113,0.124263376,0.6642747,0.38026467,0.29602098,0.47692472,B_A1
frame_face_B_A1_1031.jpg,-0.4836733,0.07850668,0.56218,0.32032347,0.3385693,0.45039165,B_A1
frame_face_B_A1_1032.jpg,-0.40913913,0.068269596,0.4774087,0.27055305,0.39486,0.44445547,B_A1
frame_face_B_A1_1033.jpg,-0.39009076,0.11441371,0.50450444,0.28646132,0.40924597,0.47121316,B_A1
frame_face_B_A1_1034.jpg,-0.42509463,0.17782612,0.6029208,0.3442429,0.3828099,0.5079843,B_A1
frame_face_B_A1_1035.jpg,-0.18189067,-0.04398054,0.2258712,0.12287187,0.56648564,0.3793647,B_A1
frame_face_B_A1_1036.jpg,-0.18928994,-0.011640837,0.20093077,0.10822899,0.56089747,0.3981176,B_A1
frame_face_B_A1_1037.jpg,-0.145269,0.21699981,0.3622688,0.2029528,0.59414357,0.5307,B_A1
