image_ID,pitch,yaw,pitchyaw,norm_yaw,norm_pitch,norm_pitchyaw,condition
frame_face_B_A2_0.jpg,-0.29965442,0.14974114,0.44939557,0.5201297,0.5013425,0.31913528,B_A2
frame_face_B_A2_1.jpg,-0.45246035,0.15156884,0.6040292,0.5211764,0.38130042,0.4319258,B_A2
frame_face_B_A2_10.jpg,-0.34013036,0.0922253,0.43235564,0.48718962,0.4695452,0.30670625,B_A2
frame_face_B_A2_100.jpg,-0.29937404,0.13113482,0.43050885,0.50947356,0.5015627,0.30535918,B_A2
frame_face_B_A2_1000.jpg,-0.32977405,-0.5455591,0.8753332,0.12192227,0.47768095,0.62981635,B_A2
frame_face_B_A2_1001.jpg,-0.45492044,0.08209792,0.53701836,0.48138955,0.3793678,0.38304776,B_A2
frame_face_B_A2_1002.jpg,-0.43412393,0.06718411,0.501308,0.47284818,0.39570522,0.35700047,B_A2
frame_face_B_A2_1003.jpg,-0.52044016,0.028037108,0.5484773,0.45042822,0.3278965,0.39140597,B_A2
frame_face_B_A2_1004.jpg,-0.47891286,0.0642108,0.54312366,0.47114536,0.3605197,0.387501,B_A2
frame_face_B_A2_1005.jpg,-0.740112,0.17350303,0.91361505,0.53373843,0.15532558,0.65773934,B_A2
frame_face_B_A2_1006.jpg,-0.7302263,-0.14740556,0.87763184,0.34994993,0.16309166,0.63149303,B_A2
frame_face_B_A2_1007.jpg,-0.3710235,0.67029,1.0413135,0.81825465,0.44527596,0.7508833,B_A2
frame_face_B_A2_1008.jpg,-0.3555671,0.7551652,1.1107323,0.86686385,0.4574183,0.8015177,B_A2
frame_face_B_A2_1009.jpg,-0.34687504,0.98763096,1.334506,1,0.46424663,0.96473944,B_A2
frame_face_B_A2_101.jpg,-0.40726715,0.068707645,0.4759748,0.47372076,0.4168035,0.3385223,B_A2
frame_face_B_A2_1010.jpg,-0.41694885,-0.028212251,0.4451611,0.4182135,0.40919772,0.31604663,B_A2
frame_face_B_A2_1011.jpg,-0.6793123,0.07611656,0.75542885,0.47796392,0.20308892,0.5423575,B_A2
frame_face_B_A2_1012.jpg,-0.5947912,-0.35619882,0.95098996,0.23037134,0.26948744,0.68500084,B_A2
frame_face_B_A2_1013.jpg,-0.5563061,0.0054540187,0.5617601,0.43749458,0.29972073,0.40109456,B_A2
frame_face_B_A2_1014.jpg,-0.5199265,-0.11305657,0.6329831,0.36962202,0.32830003,0.45304495,B_A2
frame_face_B_A2_1015.jpg,-0.8517437,0.06219227,0.91393596,0.4699893,0.0676294,0.6579734,B_A2
frame_face_B_A2_1016.jpg,-0.46538723,-0.10431892,0.56970614,0.37462622,0.37114525,0.4068904,B_A2
frame_face_B_A2_1017.jpg,-0.4201952,0.16129366,0.58148885,0.526746,0.4066474,0.4154848,B_A2
frame_face_B_A2_1018.jpg,-0.40931052,0.14308922,0.55239975,0.51632005,0.41519827,0.39426702,B_A2
frame_face_B_A2_1019.jpg,-0.35836893,-0.34629562,0.7046646,0.23604304,0.4552172,0.5053298,B_A2
frame_face_B_A2_102.jpg,-0.4892261,0.022896394,0.5121225,0.44748408,0.3524178,0.3648886,B_A2
frame_face_B_A2_1020.jpg,-0.5896472,0.046745807,0.63639295,0.46114293,0.2735285,0.4555321,B_A2
frame_face_B_A2_1021.jpg,-0.4178398,-0.06275318,0.48059297,0.39843142,0.40849784,0.3418908,B_A2
frame_face_B_A2_1022.jpg,-0.24105306,-0.08754599,0.32859904,0.38423228,0.54737884,0.23102564,B_A2
frame_face_B_A2_1023.jpg,-0.518834,-0.28591472,0.8047487,0.27062395,0.32915828,0.5783317,B_A2
frame_face_B_A2_1024.jpg,-0.35804933,0.025013141,0.38306248,0.44869635,0.4554683,0.27075157,B_A2
frame_face_B_A2_1025.jpg,-0.46747005,-0.42642674,0.8938968,0.19015092,0.369509,0.6433568,B_A2
frame_face_B_A2_1026.jpg,-0.32126522,-0.19263756,0.5139028,0.32404497,0.48436534,0.36618716,B_A2
frame_face_B_A2_1027.jpg,-0.31005037,-0.15445624,0.46450663,0.34591192,0.49317557,0.33015734,B_A2
frame_face_B_A2_1028.jpg,-0.37618986,0.014270822,0.39046067,0.4425441,0.4412174,0.27614784,B_A2
frame_face_B_A2_1029.jpg,-0.41721746,0.076705575,0.49392304,0.47830126,0.4089867,0.35161385,B_A2
frame_face_B_A2_103.jpg,-0.25529093,0.2038831,0.45917404,0.5511375,0.5361938,0.32626772,B_A2
frame_face_B_A2_1030.jpg,-0.34302804,0.061720707,0.40474874,0.46971926,0.46726876,0.28656963,B_A2
frame_face_B_A2_1031.jpg,-0.3094995,-0.15945013,0.46894962,0.34305185,0.49360833,0.3333981,B_A2
frame_face_B_A2_1032.jpg,-0.30060315,-0.30158824,0.6021914,0.26164752,0.5005972,0.43058532,B_A2
frame_face_B_A2_1033.jpg,-0.29571068,-0.31230763,0.6080183,0.2555084,0.5044406,0.4348355,B_A2
frame_face_B_A2_1034.jpg,-0.59755516,-0.5506051,1.1481602,0.11903235,0.2673161,0.82881784,B_A2
frame_face_B_A2_1035.jpg,-0.3254272,-0.26589277,0.59132,0.28209078,0.48109576,0.42265564,B_A2
frame_face_B_A2_1036.jpg,-0.32128772,-0.28240398,0.6036917,0.2726346,0.48434764,0.43167964,B_A2
