,start,end,times,silent_length,norm_silentlength,condition
0,30.630267,35.01,S1,4.379733,0.314440903362671,B_A2
1,45.967193,48.5,S1,2.532807,0.119064516883174,B_A2
2,90.646789,92.75,S2,2.103211,0.073619862291683,B_A2
3,105.067869,107.74,S3,2.67213099999999,0.13380285489448,B_A2
4,22.247715,26.24,S1,3.992285,0.273454859423332,B_A2
5,46.02108,48.66,S1,2.63892,0.130289641494826,B_A2
6,55.940653,58.93,S1,2.989347,0.167359432588162,B_A2
7,81.337709,85.29,S2,3.952291,0.269224108867619,B_A2
8,103.266445,105.5,S3,2.233555,0.087408254311332,B_A2
9,10.844059,13.35,S1,2.505941,0.116222506970943,B_A2
10,16.298279,19.98,S1,3.681721,0.240601961098971,B_A2
11,35.32038,38.24,S2,2.91962,0.159983387581456,B_A2
12,25.34457,27.72,S1,2.37543,0.102416448917818,B_A2
13,16.357033,20.01,S1,3.652967,0.237560229802302,B_A2
14,8.52273,9.93,S1,1.40727,0,B_A2
15,19.573294,25.31,S1,5.736706,0.457987792241945,B_A2
16,14.912736,17.77,S1,2.857264,0.153387081094181,B_A2
17,12.806433,17.064807,S1,4.258374,0.301602986257836,B_A2
18,2.104641,4.72,S1,2.615359,0.127797249789991,B_A2
19,49.650682,54.36,S1,4.709318,0.349305931164459,B_A2
20,30.96368,38.825282,S1,7.861602,0.682769132763838,B_A2
21,32.645223,35.52,S1,2.874777,0.155239687347174,B_A2
22,10.954682,13.95,S1,2.995318,0.167991072623371,B_A2
23,48.414006,59.274445,S1,10.860439,1,B_A2
24,13.59454,15.67,S1,2.07546,0.070684232980496,B_A2
25,42.643442,45.02,S1,2.376558,0.102535773982249,B_A2
26,20.414243,22.59,S1,2.175757,0.081294114174834,B_A2
27,20.338042,24.3,S1,3.961958,0.270246728901176,B_A2
28,14.514136,16.47,S1,1.955864,0.058032814181149,B_A2
29,21.983169,24.08,S1,2.096831,0.072944956342153,B_A2
30,22.56997,28.02,S1,5.45003,0.427661877196948,B_A2
31,49.322231,54.85,S1,5.527769,0.435885468671934,B_A2
32,11.515442,14.22,S1,2.704558,0.13723313314297,B_A2
33,10.700059,12.7,S1,1.999941,0.062695483387634,B_A2
34,16.372415,19.47,S1,3.097585,0.178809349541937,B_A2
35,5.087098,7.33,S1,2.242902,0.088397023262781,B_A2
36,24.813769,27.02,S1,2.206231,0.084517795037833,B_A2
37,27.070433,30.02,S1,2.949567,0.163151319943608,B_A2
38,8.110813,11.27,S1,3.159187,0.185325894416994,B_A2
39,25.397555,31.32,S1,5.922445,0.477636123928389,B_A2
40,16.913472,19.27,S1,2.356528,0.10041690781155,B_A2
41,17.593211,21.3887,S1,3.795489,0.252636867065425,B_A2
