,file,pitch,median,mean,q1,q3,norm_mean
0,11_face_B1_BA1_trim_user_mono.wav,"[  0.         223.85786802 218.31683168 226.15384615 226.15384615
 227.31958763 227.31958763 228.49740933 232.10526316 232.10526316
 232.10526316 232.10526316 229.6875     229.6875     222.72727273
 218.31683168 218.31683168 222.72727273 215.12195122 215.12195122
 217.24137931 220.5        221.6080402  219.40298507 218.31683168
 219.40298507 225.         223.85786802 228.49740933 254.9132948
 256.39534884 257.89473684 259.41176471 259.41176471 259.41176471
 259.41176471 259.41176471 257.89473684 253.44827586 252.
 253.44827586 252.         246.36871508 240.98360656 234.57446809
 232.10526316 134.45121951 122.84122563 122.84122563  97.56637168
  64.37956204  60.99585062]",227.319587628866,214.687223841297,218.316831683168,249.184357541899,0.769420909317873
1,11_face_B2_BA1_trim_user_mono.wav,"[217.24137931 217.24137931 218.31683168 218.31683168 220.5
 220.5        221.6080402  222.72727273 225.         225.
 225.         225.         225.         225.         225.
 229.6875    ]",223.863636363636,222.571202182206,219.408415841584,225,0.802854332023092
2,11_face_B3_BA1_trim_user_mono.wav,"[196.875      196.875      196.875      196.875      196.875
 196.875      196.875      196.875      193.42105263 199.54751131
 200.45454545 196.875      196.875      196.875      196.875
 196.875      199.54751131 202.29357798 206.07476636 205.11627907
 202.29357798 199.54751131 199.54751131 199.54751131 199.54751131
 203.22580645 209.00473934 214.0776699  208.01886792 208.01886792
 211.00478469 210.         210.         202.29357798 199.54751131
 198.64864865 197.75784753 197.75784753 191.73913043   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.         200.45454545 203.22580645 200.45454545 198.64864865
 199.54751131 196.875      196.         193.42105263 192.57641921
 191.73913043 191.73913043 191.73913043 191.73913043 191.73913043
 191.73913043 191.73913043 191.73913043 191.73913043 191.73913043
 192.57641921 193.42105263 193.42105263 193.42105263 194.27312775
 189.27038627 189.27038627 199.54751131 203.22580645 207.04225352
 209.00473934 210.         210.         210.         210.
 210.         210.         207.04225352 202.29357798 192.57641921
 192.57641921 192.57641921 192.57641921 192.57641921 192.57641921
 194.27312775 200.45454545 202.29357798 202.29357798 203.22580645
 203.22580645 203.22580645 203.22580645 203.22580645 203.22580645
 204.16666667 205.11627907 205.11627907   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.         209.00473934 209.00473934 210.         211.00478469
 213.04347826 215.12195122 216.17647059 216.17647059 216.17647059
 216.17647059 216.17647059 216.17647059 216.17647059 215.12195122
 214.0776699  214.0776699  214.0776699  202.29357798 202.29357798
 202.29357798 202.29357798 202.29357798 202.29357798 137.38317757
 110.8040201  109.97506234 109.97506234 109.97506234 108.62068966
 108.62068966 107.82396088 101.84757506 101.84757506 101.84757506
 101.84757506 135.69230769 138.67924528 203.22580645 186.07594937
 234.57446809 235.82887701 235.82887701 235.82887701 237.09677419
 237.09677419 234.57446809 227.31958763 225.         213.04347826
 182.98755187 182.98755187]",196.875,161.899893010846,182.98755186722,205.116279069767,0.545566775171294
3,11_face_B4_BA1_trim_user_mono.wav,"[195.13274336 195.13274336 195.13274336 195.13274336 194.27312775
 193.42105263 192.57641921 191.73913043 190.90909091 189.27038627
 188.46153846 187.65957447 186.86440678 186.07594937 186.07594937
 186.07594937 186.07594937 186.07594937 186.07594937 189.27038627
 191.73913043 191.73913043 191.73913043 191.73913043 191.73913043
 191.73913043 191.73913043 189.27038627 189.27038627 186.86440678
 186.86440678 190.90909091 190.90909091 194.27312775 190.90909091
 190.90909091 188.46153846 187.65957447 186.86440678 185.29411765
 183.75       182.23140496 181.48148148 182.98755187 182.98755187
 182.98755187 183.75       185.29411765 185.29411765 186.07594937
 186.07594937 187.65957447 188.46153846 190.0862069  190.0862069
 190.90909091 190.90909091 191.73913043 192.57641921 192.57641921
 192.57641921 192.57641921 192.57641921 192.57641921 192.57641921
 192.57641921 193.42105263 194.27312775 195.13274336 195.13274336
 196.875      197.75784753 198.64864865 198.64864865 198.64864865
 198.64864865 198.64864865 197.75784753 197.75784753 196.
 132.43243243 132.03592814 132.03592814 132.03592814 132.43243243
 198.64864865 199.54751131 199.54751131 199.54751131 199.54751131
 199.54751131 199.54751131 199.54751131 199.54751131 199.54751131
 202.29357798 196.875      186.07594937 185.29411765 184.51882845
 184.51882845 184.51882845 184.51882845 185.29411765 185.29411765
 185.29411765 185.29411765 182.98755187 179.26829268 181.48148148
 182.98755187 184.51882845 186.07594937 190.0862069  186.86440678
 186.07594937 187.65957447 203.22580645 204.16666667 206.07476636
 207.04225352 207.04225352 210.         207.04225352 209.00473934
 204.16666667 199.54751131 193.42105263 193.42105263 193.42105263
 192.57641921 192.57641921 192.57641921 192.57641921 189.27038627
 187.65957447 186.86440678 185.29411765 185.29411765 185.29411765
 185.29411765 185.29411765 184.51882845 184.51882845   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.        ]",182.98755186722,103.700848743583,0,191.739130434783,0.298763300594187
4,12_face_B1_BA1_trim_user_mono.wav,"[142.25806452 126.72413793 127.08933718 247.75280899 240.98360656
 240.98360656 242.30769231 228.49740933 221.6080402  221.6080402
 220.5        217.24137931 212.01923077 209.00473934 208.01886792
 196.         196.         195.13274336 195.13274336 194.27312775
 194.27312775 192.57641921 187.65957447 186.07594937 101.84757506
 101.37931034 101.37931034  71.59090909  70.67307692  71.59090909
  70.67307692]",195.132743362832,175.253381101935,126.906737553413,218.870689655172,0.602194633929081
5,12_face_B2_BA1_trim_user_mono.wav,"[265.6626506  282.69230769 280.89171975 279.11392405 275.625
 272.22222222 267.27272727 260.94674556 260.94674556 257.89473684
 256.39534884]",267.272727272727,269.0603753081,260.94674556213,277.369462025316,1
6,12_face_B3_BA1_trim_user_mono.wav,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.         262.5        262.5        267.27272727 267.27272727
 268.90243902 268.90243902 268.90243902 268.90243902 270.55214724
 270.55214724 273.91304348 277.35849057 280.89171975 284.51612903
 286.36363636 286.36363636 288.23529412 288.23529412 288.23529412
 288.23529412 288.23529412 286.36363636 284.51612903 282.69230769
 286.36363636 284.51612903 284.51612903 282.69230769 290.13157895
 290.13157895 290.13157895 286.36363636 284.51612903 286.36363636
 284.51612903 284.51612903 280.89171975 277.35849057 268.90243902
 268.90243902]",268.90243902439,157.62293509146,0,284.516129032258,0.527429568823419
7,12_face_B4_BA1_trim_user_mono.wav,"[  0.         167.5365448  169.77958679 256.39534884 262.5
 262.5        262.5        262.5        260.94674556 259.41176471
 259.41176471 257.89473684   0.           0.         209.00473934
 209.00473934 209.00473934 209.00473934 209.00473934 209.00473934
 209.00473934 170.93023256 170.93023256 170.93023256 170.93023256
 170.93023256 170.93023256 170.27027027 170.27027027 170.27027027
 169.61538462 170.27027027 170.27027027 220.5        275.625
 275.625      275.625      275.625      270.55214724 270.55214724
 270.55214724 265.6626506  265.6626506  270.55214724 272.22222222
 272.22222222 272.22222222 265.6626506  256.39534884 256.39534884
 256.39534884 256.39534884 256.39534884 260.94674556 260.94674556
 262.5        262.5        262.5        262.5        259.41176471
 259.41176471 259.41176471 254.9132948  286.36363636 315.
 315.         315.         315.         312.76595745 312.76595745
 310.56338028 308.39160839 312.76595745 312.76595745 310.56338028
 344.53125    329.10447761 329.10447761 329.10447761 326.66666667
 324.26470588 319.56521739 319.56521739 315.         315.
 315.         315.         315.         312.76595745 312.76595745
 312.76595745 312.76595745 312.76595745 310.56338028 310.56338028
 310.56338028 312.76595745 315.         312.76595745 310.56338028
 310.56338028   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 259.41176471 254.9132948  253.44827586 250.56818182 249.15254237
 250.56818182 252.         250.56818182 250.56818182 247.75280899
 246.36871508 245.         245.         246.36871508 246.36871508
 257.89473684 265.6626506  275.625      282.69230769 288.23529412
 286.36363636 284.51612903 284.51612903   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.         239.67391304 240.98360656 240.98360656 235.82887701
 234.57446809 228.49740933 225.         221.6080402  220.5
 216.17647059 213.04347826 218.31683168 228.49740933 223.85786802
 208.01886792 214.0776699  214.0776699  215.12195122 215.12195122
 215.12195122 215.12195122]",250.568181818182,207.5459784948,170.93023255814,275.625,0.739137178948877
8,13_face_B1_BA1_trim_user_mono.wav,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.         225.         228.49740933 229.6875     229.6875
 229.6875     228.49740933 229.6875     228.49740933 226.15384615
 226.15384615   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.         211.00478469 215.12195122 219.40298507
 219.40298507 219.40298507 219.40298507 219.40298507 217.24137931
 216.17647059 215.12195122 213.04347826 211.00478469 209.00473934]",209.004739336493,113.02854188829,0,219.402985074627,0.338319054591296
9,13_face_B2_BA1_trim_user_mono.wav,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 196.875      196.875      196.875      196.875      191.73913043
 191.73913043 191.73913043 191.73913043 191.73913043 193.42105263
 194.27312775 195.13274336 196.         197.75784753 200.45454545
 200.45454545 200.45454545 201.36986301 188.41605903 188.41765408
 188.42137587 188.42828776 188.43945312   0.           0.
 186.86440678 186.86440678 186.86440678 186.07594937 188.72603082
 188.80950521 188.90680339]",186.864406779661,101.416636172096,0,191.739130434783,0.289076687928748
