scores,emotion_index,filename,norm_scores,condition
0.3,0,34_face_A11_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0,0,34_face_A12_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.2,0,34_face_A13_nohelp_BA1_trim_user.wav,0.125,A1_beforehelp
0.2,0,34_face_A14_nohelp_BA1_trim_user.wav,0.125,A1_beforehelp
0.9,1,38_face_A11_nohelp_BA1_trim_user.wav,0.5625,A1_beforehelp
1.1,1,38_face_A12_nohelp_BA1_trim_user.wav,0.6875,A1_beforehelp
1.3,1,38_face_A13_nohelp_BA1_trim_user.wav,0.8125,A1_beforehelp
1.5,2,38_face_A14_nohelp_BA1_trim_user.wav,0.9375,A1_beforehelp
0.3,0,39_face_A11_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0.3,0,39_face_A12_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0.7,1,39_face_A13_nohelp_BA1_trim_user.wav,0.4375,A1_beforehelp
1,1,39_face_A14_nohelp_BA1_trim_user.wav,0.625,A1_beforehelp
0.7,1,40_face_A12_nohelp_BA1_trim_user.wav,0.4375,A1_beforehelp
0.7,1,40_face_A13_nohelp_BA1_trim_user.wav,0.4375,A1_beforehelp
0.9,1,40_face_A14_nohelp_BA1_trim_user.wav,0.5625,A1_beforehelp
0.1,0,44_face_A11_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0.1,0,44_face_A12_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0.4,0,44_face_A13_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.2,0,44_face_A14_nohelp_BA1_trim_user.wav,0.125,A1_beforehelp
0.1,0,45_face_A11_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0.1,0,45_face_A12_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0,0,45_face_A13_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.1,0,45_face_A14_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0.8,1,49_face_A11_nohelp_BA1_trim_user.wav,0.5,A1_beforehelp
0.4,0,49_face_A12_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.4,0,49_face_A13_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.8,1,49_face_A14_nohelp_BA1_trim_user.wav,0.5,A1_beforehelp
0.9,1,50_face_A11_nohelp_BA1_trim_user.wav,0.5625,A1_beforehelp
0.9,1,50_face_A12_nohelp_BA1_trim_user.wav,0.5625,A1_beforehelp
1.3,1,50_face_A13_nohelp_BA1_trim_user.wav,0.8125,A1_beforehelp
0.6,1,50_face_A14_nohelp_BA1_trim_user.wav,0.375,A1_beforehelp
0.5,1,51_face_A11_nohelp_BA1_trim_user.wav,0.3125,A1_beforehelp
0.2,0,51_face_A12_nohelp_BA1_trim_user.wav,0.125,A1_beforehelp
0.3,0,51_face_A13_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0.4,0,51_face_A14_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.6,1,56_face_A11_nohelp_BA1_trim_user.wav,0.375,A1_beforehelp
0.6,1,56_face_A12_nohelp_BA1_trim_user.wav,0.375,A1_beforehelp
1,1,56_face_A13_nohelp_BA1_trim_user.wav,0.625,A1_beforehelp
0.6,1,56_face_A14_nohelp_BA1_trim_user.wav,0.375,A1_beforehelp
0.3,0,57_face_A11_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0.4,0,57_face_A12_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.3,0,57_face_A13_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0.2,0,57_face_A14_nohelp_BA1_trim_user.wav,0.125,A1_beforehelp
0.5,1,61_face_A11_nohelp_BA1_trim_user.wav,0.3125,A1_beforehelp
0.8,1,61_face_A12_nohelp_BA1_trim_user.wav,0.5,A1_beforehelp
0.6,1,61_face_A13_nohelp_BA1_trim_user.wav,0.375,A1_beforehelp
0.6,1,61_face_A14_nohelp_BA1_trim_user.wav,0.375,A1_beforehelp
0.7,1,62_face_A11_nohelp_BA1_trim_user.wav,0.4375,A1_beforehelp
0.8,1,62_face_A12_nohelp_BA1_trim_user.wav,0.5,A1_beforehelp
0.7,1,62_face_A13_nohelp_BA1_facefrozen_trim_user.wav,0.4375,A1_beforehelp
0.8,1,62_face_A14_nohelp_BA1_facefrozen_trim_user.wav,0.5,A1_beforehelp
0.7,1,63_face_A11_nohelp_BA1_trim_user.wav,0.4375,A1_beforehelp
0.6,1,63_face_A12_nohelp_BA1_trim_user.wav,0.375,A1_beforehelp
0.5,1,63_face_A13_nohelp_BA1_trim_user.wav,0.3125,A1_beforehelp
0.5,1,63_face_A14_nohelp_BA1_trim_user.wav,0.3125,A1_beforehelp
0.8,1,64_face_A11_nohelp_BA1_trim_user.wav,0.5,A1_beforehelp
0.9,1,64_face_A12_nohelp_BA1_trim_user.wav,0.5625,A1_beforehelp
0.6,1,64_face_A13_nohelp_BA1_trim_user.wav,0.375,A1_beforehelp
0.8,1,64_face_A14_nohelp_BA1_trim_user.wav,0.5,A1_beforehelp
0.2,0,68_face_A11_nohelp_BA1_trim_user.wav,0.125,A1_beforehelp
0.7,1,68_face_A12_nohelp_BA1_trim_user.wav,0.4375,A1_beforehelp
0.1,0,68_face_A13_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0.1,0,68_face_A14_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0,0,71_face_A11_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,71_face_A12_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,71_face_A13_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,71_face_A14_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.8,1,72_face_A11_nohelp_BA1_trim_user.wav,0.5,A1_beforehelp
0.5,1,72_face_A12_nohelp_BA1_trim_user.wav,0.3125,A1_beforehelp
0.4,0,72_face_A13_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.1,0,72_face_A14_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0.3,0,76_face_A11_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0.2,0,76_face_A12_nohelp_BA1_trim_user.wav,0.125,A1_beforehelp
0.4,0,76_face_A13_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.6,1,76_face_A14_nohelp_BA1_trim_user.wav,0.375,A1_beforehelp
0,0,77_face_A11_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.3,0,77_face_A12_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0.4,0,77_face_A13_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.1,0,77_face_A14_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0.7,1,80_face_A11_nohelp_BA1_trim_user.wav,0.4375,A1_beforehelp
1,1,80_face_A12_nohelp_BA1_trim_user.wav,0.625,A1_beforehelp
0.4,0,80_face_A13_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.7,1,80_face_A14_nohelp_BA1_trim_user.wav,0.4375,A1_beforehelp
0,0,81_face_A11_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.4,0,81_face_A12_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.3,0,81_face_A13_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0.4,0,81_face_A14_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
